ProductID,ProductName,ProductGroupID,Price,Description,StockQuantity,SKU,Weight,Dimensions,Manufacturer,WarrantyPeriod,ReleaseDate
1,Bluetooth Speaker,1,87.03,"Read history type situation.
Its president rock card. Wide challenge might black ready.
Want heart main perform phone. Center hold which kind discussion consider. Meet coach call small result.",906,JMB-15040330,25.26,43x4x12 cm,"Raymond, Collins and Andrews",2 years,2021-05-14
2,Smartphone,8,363.33,"We service run. Simple speech article language. This gun painting apply option.
Collection money fill itself century run item. Leg bring entire language few fly apply.",688,VsI-81731403,3.79,40x99x15 cm,"Leblanc, Davis and Ramos",3 years,2024-01-31
3,Headphones,3,370.86,"Save be look role build firm. Special visit nation sign off.
White open later guess study degree above. East then article necessary. Clear in plan big room realize. Low improve cut.",188,Etx-93203109,16.83,61x28x64 cm,"Smith, Armstrong and Wagner",1 year,2020-07-11
4,Tablet,3,127.79,"Conference meeting hand scene.
Threat look Republican born. System home outside stand risk interview.",896,HoV-90463991,34.87,83x54x17 cm,Brooks and Sons,2 years,2024-03-07
5,Smartphone,8,250.31,Stay plan key citizen own house example. However rule television east land. Agent someone fine series just kitchen.,50,gqg-22091336,46.19,61x24x80 cm,"Coleman, Chaney and Humphrey",2 years,2023-10-18
6,Printer,6,159.64,"National old anyone candidate.
Have tonight eye dark expert student class front. Debate floor per discuss vote result group. Involve finally article level newspaper employee party.",577,kLF-89908941,28.59,85x93x14 cm,Smith-Miles,1 year,2021-01-07
7,Smart Thermostat,10,477.53,"Hospital standard sell ability within.
Recognize animal ball they prepare. Soldier program sell apply available participant establish.",362,lSE-56623511,32.84,36x7x57 cm,Miller-Wilson,2 years,2020-08-02
8,Headphones,4,329.88,Ahead clearly perhaps image. Ever line kid issue speech either. Operation over safe eat.,128,APE-74022370,21.54,90x86x93 cm,Rodriguez-Scott,1 year,2022-10-22
9,Laptop,1,93.06,"Chair nation finish. Yourself because whom discover glass remember.
Must would success full smile industry prevent. Likely be over computer southern. However himself whom save since arm above.",923,FLA-28459631,47.02,73x48x38 cm,Patterson-Ryan,6 months,2021-01-10
10,Monitor,8,304.08,Case base network near several pretty. Enjoy task tax play perhaps last eat. Call seat call central understand method mother hour.,653,bzG-81808003,13.63,60x97x38 cm,Dickerson and Sons,2 years,2020-10-09
11,Tablet,3,27.45,"Operation door word voice.
Yard keep back ok. Natural possible piece read around.",538,DyE-51091811,38.61,4x50x20 cm,Allen-Travis,1 year,2024-05-15
